"","instructor","state","institution","course","religion","christianden","nonrel","rel","raceoriginal","evound","micro","macro","human","evound1","evound2","evound3","evound4","evound5","evound6","evound7","evound8","evound9","evound10","evound11","evound12","evound13","evound14","micro1","micro2","micro3","micro4","micro5","micro6","micro7","micro8","macro1","macro2","macro3","macro4","macro5","macro6","macro7","macro8","human1","human2","human3","human4","human5","human6","human7","human8","rel1","rel2","rel3","rel4","africanamerican","racenative","raceasian","raceblack","racelatinx","raceislander","racewhite","raceother","racedecline","race","gender","religiosity"
"7023",37,12,24,78,2,1,NA,4.75,4,0.714285714285714,4.125,3.625,3.625,1,0,1,1,1,1,1,1,0,1,1,0,1,0,5,5,4,4,4,4,4,3,4,3,4,3,3,5,4,3,4,3,4,4,3,3,4,4,5,5,5,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"high"
"7024",11,3,16,56,6,NA,0,2.5,4,0.571428571428571,4,3.75,3.875,0,0,1,0,0,1,0,1,0,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,2,3,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"moderate"
"7025",13,2,1,17,2,5,NA,4,4,0.785714285714286,5,4.375,4.5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,3,4,4,4,5,5,5,4,5,3,5,4,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"high"
"7026",18,12,12,30,6,NA,0,1.75,4,0.714285714285714,4,3.75,4,1,1,1,1,1,1,1,1,0,0,1,1,0,0,4,5,4,4,2,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,3,5,4,1,1,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"low"
"7027",23,4,23,40,2,1,NA,4,3,0.357142857142857,3.25,3,2.25,0,0,1,0,0,0,0,1,0,1,0,0,1,1,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,5,1,3,4,4,4,4,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,"high"
"7028",40,3,16,73,7,NA,NA,3.25,2,0.428571428571429,4.375,3.5,3.875,1,0,0,1,1,1,0,0,1,0,0,1,0,0,5,5,5,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,"moderate"
"7029",23,4,23,40,3,NA,NA,4.25,2,0.714285714285714,4,3.625,3.75,1,0,0,1,1,1,0,1,1,1,1,1,1,0,4,4,5,4,4,4,4,3,4,2,4,5,4,3,4,3,4,3,3,4,4,4,4,4,4,5,4,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,"high"
"7030",6,12,12,29,2,4,NA,5,7,0.785714285714286,3.625,1.875,1.25,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4,4,4,4,4,3,3,3,1,2,2,1,4,1,3,1,1,1,1,1,1,1,1,3,5,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7031",10,10,9,25,6,NA,2,2.75,4,0.571428571428571,3.25,3.75,3.5,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,5,5,2,2,4,2,4,5,2,4,4,4,2,4,5,5,1,1,5,5,1,5,5,1,4,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,"moderate"
"7032",3,8,11,28,2,1,NA,3,7,0.928571428571429,4,4,3.875,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,4,4,4,2,4,5,5,4,5,4,5,4,4,3,3,4,3,4,5,3,4,4,4,2,4,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,"moderate"
"7033",11,3,16,56,7,NA,NA,2.5,2,0.928571428571429,4.625,4.375,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,5,5,5,5,5,5,5,5,4,5,5,3,3,5,5,5,5,5,5,5,5,2,2,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,"moderate"
"7034",23,4,23,41,6,NA,2,3.25,7,0.571428571428571,4.875,4.375,3.875,1,0,0,0,0,1,1,1,0,1,1,0,1,1,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,2,4,3,3,4,4,5,4,4,2,5,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7035",48,2,1,57,6,NA,1,1.75,2,0.357142857142857,4.375,4,3,0,0,0,0,0,0,1,0,1,1,1,0,1,0,4,5,4,5,5,4,4,4,4,5,4,4,5,4,4,2,4,3,3,2,4,2,3,3,1,2,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,"low"
"7036",11,3,16,56,6,NA,0,1.5,7,0.714285714285714,5,4.625,4.875,1,0,0,1,1,1,1,1,1,1,1,1,0,0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,5,5,5,5,5,5,1,1,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"low"
"7037",6,12,12,29,2,5,NA,4.75,4,1,5,4.75,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,"high"
"7038",8,12,13,31,2,4,NA,4.25,6,0.785714285714286,4.5,3,3.5,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4,5,5,5,5,4,4,4,3,3,3,2,5,2,4,2,4,4,4,2,4,4,2,4,4,5,4,4,NA,NA,NA,NA,NA,NA,1,1,NA,3,2,"high"
